Comment,cut_comment,knn_sentiment
老师讲的很不错，认真学的话可以学到不少知识。感谢他。不像某某南京大学的教授讲的操作系统，只会照着ppt念，读的人云里雾里，昏昏欲睡！！！居然还国家精品。真是讽刺！,老师 讲 很 不错 认真 学 学到 不少 知识 感谢 不像 某某 南京大学 教授 讲 操作系统 只会 ppt 念 读 人 云里雾里 昏昏欲睡 居然 还 国家精品 真是 讽刺,0
很棒的老师，很棒的授课。虽然这是门打基础的课程，但如果能介绍点这门课与时下流行课程的关系就更好了。,很棒 老师 很棒 授课 门 打基础 课程 介绍 点 这门 课 时下 流行 课程 关系 更好,0
希望大家最后都能考出一个好成绩吧！,希望 大家 最后 都 考出 好 成绩,0
一流的讲课，一流的老师，总体感觉很棒。就是没有考试重点什么的嘛┭┮﹏┭┮,一流 讲课 一流 老师 总体 感觉 很棒 没有 考试 重点 ┭ ┮ ﹏ ┭ ┮,0
讲了前两节课还行，后面还是开始读ppt了。。。,讲 前 两节课 还行 后面 读 ppt,0
有的课程没声音啊,课程 没 声音,0
4.5没声音辣,4.5 没 声音 辣,0
感觉好难啊,感觉 好难,0
课讲的挺好，老师讲课要爷们儿点，语言刚硬点。,课讲 挺 好 老师 讲课 爷们儿 点 语言 刚硬 点,0
老师你声音再低一点我就听不清了。还有讲的都是PPT，无奈。还有喷麦我也是听着挺难受,老师 声音 再 低 一点 听不清 讲 都 PPT 无奈 喷麦 听 挺 难受,0
讲的很好，条理清晰，通俗易懂，枯燥的课本内容，课讲的很动情。1.5倍速 正常速度，就是没有PPT，唯一的不完美,讲 很 好 条理清晰 通俗易懂 枯燥 课本 内容 课讲 很 动情 1.5 倍速 正常 速度 没有 PPT 唯一 不 完美,0
课程很好，但是课后习题什么的没有答案，完全不知道自己哪里错了,课程 很 好 课后 习题 没有 答案 完全 不 知道 错,0
没弹幕，差评,没 弹幕 差评,0
很好的课程，要是老师能把课程的PPT补全，就更好了,很 好 课程 老师 课程 PPT 补全 更好,0
不太行，思路不清晰，光读课件,不 太行 思路 不 清晰 光读 课件,0
有一结课没声音,结课 没 声音,0
有些知识点不太详细,知识点 不太 详细,0
讲的还行吧，有点没搞懂,讲 还行 有点 没 搞懂,0
还行吧，没有其他人讲得好,还行 没有 其他人 讲得 好,0
有些点感觉没想清楚,点 感觉 没想 清楚,0
操作系统好难啊,操作系统 好难,0
好难啊，这课,好难 这课,0
太复杂了，我听不懂,太 复杂 听不懂,0
感觉操作系统好难啊,感觉 操作系统 好难,0
感觉授课环境有点昏暗啊，老师辛苦了,感觉 授课 环境 有点 昏暗 老师 辛苦,0
声音修复了,声音 修复,0
课程总体对初学者友好，但是没有足够的例子去理解知识点,课程 总体 初学者 友好 没有 足够 例子 去 理解 知识点,0
为啥不发成绩也不发证书,为啥 不发 成绩 不发 证书,0
讲的什么东西啊,讲 东西,0
是我想学的东西,想学 东西,0
学过的会轻松不少,学过 会 轻松 不少,0
从入门到放弃,入门 放弃,0
学这门课之前有没有什么前置课程啊,学 这门 课 之前 有没有 前置 课程,0
我不太喜欢这种类型,不 太 喜欢 这种 类型,0
反正我是不太喜欢这种讲课风格,反正 不 太 喜欢 这种 讲课 风格,0
讲的不错，但没有吹的那么神,讲 不错 没有 吹 神,0
欸，有点不习惯这种讲课方式,欸 有点 不 习惯 这种 讲课 方式,0
有的视频没有声音，是我自己的问题吗？,视频 没有 声音 问题,0
感觉讲的有些旧了，很多知识,感觉 讲 旧 很多 知识,0
为什么有的地方没声音?,地方 没 声音,0
我没觉得有多生动，一般般吧，但老师也蛮辛苦的,没 觉得 生动 一般般 老师 蛮 辛苦,0
恕我直言，能用简单的语句解释，就不要用高深的，谢谢老师。,恕我直言 简单 语句 解释 不要 高深 谢谢 老师,0
